date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2019-07-06 11:27,"Dragon's Lair B10",Win,2:52,4202,0,0,Rune,5*,15049,Revenge,52.78,3,Legendary,DEF +15,DEF 4%,HP 5%,CRI Rate 5%,HP +220,Resistance 5%,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:31,"Dragon's Lair B10",Win,3:16,4904,0,0,Rune,5*,7007,Focus,40.85,3,Rare,DEF +15,,Accuracy 7%,Resistance 5%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:39,"Dragon's Lair B10",Win,2:52,4596,0,1,Rune,6*,25677,Violent,52.30,4,Hero,HP 11%,,Resistance 6%,CRI Dmg 4%,CRI Rate 6%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:42,"Dragon's Lair B10",Win,3:06,4388,1,1,Symbol of Chaos x6,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:48,"Dragon's Lair B10",Win,3:34,4457,0,2,Rune,5*,14593,Revenge,40.52,2,Hero,ATK 8%,,Accuracy 3%,ATK +14,DEF +11,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:51,"Dragon's Lair B10",Win,2:38,5163,0,0,Rune,6*,13801,Guard,44.56,5,Rare,HP +360,,CRI Dmg 4%,CRI Rate 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:55,"Dragon's Lair B10",Win,3:06,5181,0,5,Symbol of Transcendence x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 11:59,"Dragon's Lair B10",Win,2:33,4414,0,2,Rune,6*,28530,Violent,57.50,4,Hero,ATK +22,ATK 5%,Resistance 6%,HP +253,Accuracy 8%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 15:40,"Dragon's Lair B10",Win,2:54,4871,0,1,Symbol of Transcendence x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 15:47,"Dragon's Lair B10",Win,3:24,4692,0,0,Rainbowmon 3,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 15:51,"Dragon's Lair B10",Win,3:11,4954,0,2,Symbol of Chaos x6,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 15:54,"Dragon's Lair B10",Win,3:07,4460,0,1,Rune,5*,13954,Revenge,46.15,6,Hero,HP +270,Accuracy 4%,ATK 4%,CRI Dmg 4%,DEF 5%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 15:58,"Dragon's Lair B10",Win,3:09,4638,0,2,Rune,5*,11674,Revenge,41.20,5,Rare,HP +270,CRI Dmg 3%,DEF +9,ATK 5%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 16:01,"Dragon's Lair B10",Win,2:40,4698,0,1,Rune,5*,13005,Violent,42.63,6,Rare,Accuracy 9%,DEF +8,ATK +15,SPD +5,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 18:32,"Dragon's Lair B10",Win,7:28,4645,0,0,Rune,6*,32778,Endure,58.36,1,Legendary,ATK +22,Accuracy 4%,SPD +4,HP 5%,Resistance 6%,HP +236,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-06 18:39,"Dragon's Lair B10",Win,3:18,4937,0,3,Rune,5*,11095,Endure,47.34,1,Rare,ATK +15,Accuracy 7%,HP +294,Resistance 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
